flood	base/internal-json	1	10988890	150000
burst	base/internal-json	1	36888890	500000
copy	base/internal-json	1	112252477	1249032
flood	orig/diffs	1	15638984	32
burst	orig/diffs	1	52388926	3
copy	orig/diffs	1	120670	5
flood	dirty/diffs	1	15638980	30
burst	dirty/diffs	1	52388926	3
copy	dirty/diffs	1	122849	5
flood	nonblock/diffs	1	15638976	28
burst	nonblock/diffs	1	51888924	2
copy	nonblock/diffs	1	122446	5
flood	incr/diffs	1	15638978	29
burst	incr/diffs	1	51888924	2
copy	incr/diffs	1	123737	6
flood	base/internal-json	2	10988890	150000
burst	base/internal-json	2	36888890	500000
copy	base/internal-json	2	112252477	1249032
flood	orig/diffs	2	15488980	30
burst	orig/diffs	2	52388924	2
copy	orig/diffs	2	121316	5
flood	dirty/diffs	2	15488982	31
burst	dirty/diffs	2	51888926	3
copy	dirty/diffs	2	122446	5
flood	nonblock/diffs	2	15788980	30
burst	nonblock/diffs	2	51888926	3
copy	nonblock/diffs	2	124916	6
flood	incr/diffs	2	15488982	31
burst	incr/diffs	2	52388926	3
copy	incr/diffs	2	123740	6
